date,value,rolling_28d_mean
2024-11-17,53,53.0
2024-11-24,52,52.5
2024-12-01,51,52.0
2024-12-08,50,51.5
2024-12-15,47,50.0
2024-12-22,40,47.0
2024-12-29,36,43.25
2025-01-05,51,43.5
2025-01-12,50,44.25
2025-01-19,50,46.75
2025-01-26,48,49.75
2025-02-02,50,49.5
2025-02-09,50,49.5
2025-02-16,52,50.0
2025-02-23,55,51.75
2025-03-02,52,52.25
2025-03-09,50,52.25
2025-03-16,53,52.5
2025-03-23,48,50.75
2025-03-30,53,51.0
2025-04-06,50,51.0
2025-04-13,51,50.5
2025-04-20,51,51.25
2025-04-27,50,50.5
2025-05-04,51,50.75
2025-05-11,51,50.75
2025-05-18,52,51.0
2025-05-25,47,50.25
2025-06-01,51,50.25
2025-06-08,54,51.0
2025-06-15,57,52.25
2025-06-22,54,54.0
2025-06-29,56,55.25
2025-07-06,56,55.75
2025-07-13,65,57.75
2025-07-20,61,59.5
2025-07-27,66,62.0
2025-08-03,80,68.0
2025-08-10,100,76.75
2025-08-17,92,84.5
2025-08-24,91,90.75
2025-08-31,92,93.75
2025-09-07,90,91.25
2025-09-14,86,89.75
2025-09-21,89,89.25
2025-09-28,84,87.25
2025-10-05,83,85.5
2025-10-12,84,85.0
2025-10-19,83,83.5
2025-10-26,85,83.75
2025-11-02,72,81.0
2025-11-09,53,73.25
2025-11-16,57,66.75
