date,value,rolling_28d_mean
2024-11-17,51,51.0
2024-11-24,49,50.0
2024-12-01,50,50.0
2024-12-08,52,50.5
2024-12-15,42,48.25
2024-12-22,35,44.75
2024-12-29,32,40.25
2025-01-05,44,38.25
2025-01-12,44,38.75
2025-01-19,51,42.75
2025-01-26,52,47.75
2025-02-02,52,49.75
2025-02-09,53,52.0
2025-02-16,55,53.0
2025-02-23,56,54.0
2025-03-02,56,55.0
2025-03-09,59,56.5
2025-03-16,59,57.5
2025-03-23,62,59.0
2025-03-30,94,68.5
2025-04-06,75,72.5
2025-04-13,65,74.0
2025-04-20,70,76.0
2025-04-27,71,70.25
2025-05-04,73,69.75
2025-05-11,75,72.25
2025-05-18,79,74.5
2025-05-25,76,75.75
2025-06-01,77,76.75
2025-06-08,79,77.75
2025-06-15,77,77.25
2025-06-22,80,78.25
2025-06-29,75,77.75
2025-07-06,74,76.5
2025-07-13,77,76.5
2025-07-20,77,75.75
2025-07-27,78,76.5
2025-08-03,86,79.5
2025-08-10,83,81.0
2025-08-17,85,83.0
2025-08-24,89,85.75
2025-08-31,89,86.5
2025-09-07,95,89.5
2025-09-14,98,92.75
2025-09-21,94,94.0
2025-09-28,92,94.75
2025-10-05,96,95.0
2025-10-12,92,93.5
2025-10-19,93,93.25
2025-10-26,89,92.5
2025-11-02,95,92.25
2025-11-09,90,91.75
2025-11-16,100,93.5
