date,value,keyword,ingestion_ts
2024-11-17,53,airflow,2025-11-20T09:04:43.298328
2024-11-24,51,airflow,2025-11-20T09:04:43.298328
2024-12-01,51,airflow,2025-11-20T09:04:43.298328
2024-12-08,50,airflow,2025-11-20T09:04:43.298328
2024-12-15,46,airflow,2025-11-20T09:04:43.298328
2024-12-22,40,airflow,2025-11-20T09:04:43.298328
2024-12-29,36,airflow,2025-11-20T09:04:43.298328
2025-01-05,51,airflow,2025-11-20T09:04:43.298328
2025-01-12,50,airflow,2025-11-20T09:04:43.298328
2025-01-19,50,airflow,2025-11-20T09:04:43.298328
2025-01-26,48,airflow,2025-11-20T09:04:43.298328
2025-02-02,50,airflow,2025-11-20T09:04:43.298328
2025-02-09,50,airflow,2025-11-20T09:04:43.298328
2025-02-16,53,airflow,2025-11-20T09:04:43.298328
2025-02-23,55,airflow,2025-11-20T09:04:43.298328
2025-03-02,52,airflow,2025-11-20T09:04:43.298328
2025-03-09,50,airflow,2025-11-20T09:04:43.298328
2025-03-16,53,airflow,2025-11-20T09:04:43.298328
2025-03-23,48,airflow,2025-11-20T09:04:43.298328
2025-03-30,52,airflow,2025-11-20T09:04:43.298328
2025-04-06,50,airflow,2025-11-20T09:04:43.298328
2025-04-13,51,airflow,2025-11-20T09:04:43.298328
2025-04-20,51,airflow,2025-11-20T09:04:43.298328
2025-04-27,49,airflow,2025-11-20T09:04:43.298328
2025-05-04,51,airflow,2025-11-20T09:04:43.298328
2025-05-11,51,airflow,2025-11-20T09:04:43.298328
2025-05-18,52,airflow,2025-11-20T09:04:43.298328
2025-05-25,46,airflow,2025-11-20T09:04:43.298328
2025-06-01,50,airflow,2025-11-20T09:04:43.298328
2025-06-08,54,airflow,2025-11-20T09:04:43.298328
2025-06-15,57,airflow,2025-11-20T09:04:43.298328
2025-06-22,54,airflow,2025-11-20T09:04:43.298328
2025-06-29,56,airflow,2025-11-20T09:04:43.298328
2025-07-06,56,airflow,2025-11-20T09:04:43.298328
2025-07-13,65,airflow,2025-11-20T09:04:43.298328
2025-07-20,61,airflow,2025-11-20T09:04:43.298328
2025-07-27,67,airflow,2025-11-20T09:04:43.298328
2025-08-03,82,airflow,2025-11-20T09:04:43.298328
2025-08-10,100,airflow,2025-11-20T09:04:43.298328
