date,Airflow,Databricks,Collibra,Data engineering,Data quality
2024-11-17,27,33,1,11,10
2024-11-24,26,27,1,10,8
2024-12-01,26,30,1,10,10
2024-12-08,25,33,1,11,9
2024-12-15,24,36,1,11,8
2024-12-22,20,15,0,9,5
2024-12-29,18,17,0,9,5
2025-01-05,26,31,1,11,7
2025-01-12,26,33,1,11,9
2025-01-19,26,34,1,12,9
2025-01-26,25,33,1,13,9
2025-02-02,26,36,1,11,10
2025-02-09,25,37,1,12,10
2025-02-16,27,36,1,13,11
2025-02-23,28,34,1,12,11
2025-03-02,27,35,1,11,10
2025-03-09,26,35,1,12,10
2025-03-16,27,37,1,12,10
2025-03-23,24,35,1,12,12
2025-03-30,27,35,1,12,10
2025-04-06,25,36,1,12,10
2025-04-13,26,32,1,12,9
2025-04-20,26,32,1,12,10
2025-04-27,25,30,1,12,10
2025-05-04,26,34,1,13,10
2025-05-11,26,36,1,14,10
2025-05-18,27,35,1,12,10
2025-05-25,24,32,1,13,10
2025-06-01,26,41,1,15,13
2025-06-08,28,50,1,21,18
2025-06-15,29,48,1,19,16
2025-06-22,28,47,1,17,14
2025-06-29,28,36,1,15,14
2025-07-06,29,40,1,15,12
2025-07-13,33,43,1,16,15
2025-07-20,31,42,1,19,15
2025-07-27,34,47,1,25,20
2025-08-03,42,62,2,39,41
2025-08-10,51,93,2,57,64
2025-08-17,48,100,2,58,56
2025-08-24,46,74,2,43,51
2025-08-31,47,69,2,44,55
2025-09-07,46,71,2,45,52
2025-09-14,44,66,2,43,52
2025-09-21,45,79,2,45,53
2025-09-28,43,78,2,46,46
2025-10-05,43,69,2,40,43
2025-10-12,43,65,2,39,47
2025-10-19,42,68,2,39,44
2025-10-26,43,62,2,37,41
2025-11-02,37,55,1,30,31
2025-11-09,27,38,1,13,11
2025-11-16,28,40,1,16,15
